Calculation_617274644642918406,Category,City,Country,Customer ID,Customer Name,Discount,Order Date,Order ID,Postal Code,Product ID,Product Name,Profit,Quantity,Region,Row ID,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category,Calculation_617274644912177162
0.2,Office Supplies,Houston,United States,DP-13000,Darren Powers,0.2,1/3/2014,CA-2014-103800,77095,OFF-PA-10000174,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",5.5512,2,Central,7981,16.448,Consumer,1/7/2014,Standard Class,Texas,Paper,Profitable
0.8,Office Supplies,Naperville,United States,PO-19195,Phillina Ober,0.8,1/4/2014,CA-2014-112326,60540,OFF-BI-10004094,GBC Standard Plastic Binding Systems Combs,-5.487,2,Central,742,3.54,Home Office,1/8/2014,Standard Class,Illinois,Binders,Unprofitable
0.2,Office Supplies,Naperville,United States,PO-19195,Phillina Ober,0.2,1/4/2014,CA-2014-112326,60540,OFF-LA-10003223,Avery 508,4.2717,3,Central,740,11.784,Home Office,1/8/2014,Standard Class,Illinois,Labels,Profitable
0.2,Office Supplies,Naperville,United States,PO-19195,Phillina Ober,0.2,1/4/2014,CA-2014-112326,60540,OFF-ST-10002743,SAFCO Boltless Steel Shelving,-64.7748,3,Central,741,272.736,Home Office,1/8/2014,Standard Class,Illinois,Storage,Unprofitable
0.2,Office Supplies,Philadelphia,United States,MB-18085,Mick Brown,0.2,1/5/2014,CA-2014-141817,19143,OFF-AR-10003478,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",4.884,3,East,1760,19.536,Consumer,1/12/2014,Standard Class,Pennsylvania,Art,Profitable
,Office Supplies,Athens,United States,JO-15145,Jack O'Briant,0,1/6/2014,CA-2014-106054,30605,OFF-AR-10002399,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",5.2398,3,South,7181,12.78,Corporate,1/7/2014,First Class,Georgia,Art,Profitable
,Office Supplies,Los Angeles,United States,LS-17230,Lycoris Saunders,0,1/6/2014,CA-2014-130813,90049,OFF-PA-10002005,Xerox 225,9.3312,3,West,5328,19.44,Consumer,1/8/2014,Second Class,California,Paper,Profitable
,Furniture,Henderson,United States,ME-17320,Maria Etezadi,0,1/6/2014,CA-2014-167199,42420,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,746.4078,9,South,7475,2573.82,Home Office,1/10/2014,Standard Class,Kentucky,Chairs,Profitable
,Office Supplies,Henderson,United States,ME-17320,Maria Etezadi,0,1/6/2014,CA-2014-167199,42420,OFF-AR-10001662,Rogers Handheld Barrel Pencil Sharpener,1.4796,2,South,7477,5.48,Home Office,1/10/2014,Standard Class,Kentucky,Art,Profitable
,Office Supplies,Henderson,United States,ME-17320,Maria Etezadi,0,1/6/2014,CA-2014-167199,42420,OFF-BI-10004632,Ibico Hi-Tech Manual Binding System,274.491,2,South,7476,609.98,Home Office,1/10/2014,Standard Class,Kentucky,Binders,Profitable
,Office Supplies,Henderson,United States,ME-17320,Maria Etezadi,0,1/6/2014,CA-2014-167199,42420,OFF-FA-10001883,"Alliance Super-Size Bands, Assorted Sizes",0.311200000,4,South,7480,31.12,Home Office,1/10/2014,Standard Class,Kentucky,Fasteners,Profitable
,Office Supplies,Henderson,United States,ME-17320,Maria Etezadi,0,1/6/2014,CA-2014-167199,42420,OFF-PA-10000955,Southworth 25% Cotton Granite Paper & Envelopes,3.0084,1,South,7481,6.54,Home Office,1/10/2014,Standard Class,Kentucky,Paper,Profitable
,Technology,Henderson,United States,ME-17320,Maria Etezadi,0,1/6/2014,CA-2014-167199,42420,TEC-PH-10004977,GE 30524EE4,113.6742,2,South,7478,391.98,Home Office,1/10/2014,Standard Class,Kentucky,Phones,Profitable
,Technology,Henderson,United States,ME-17320,Maria Etezadi,0,1/6/2014,CA-2014-167199,42420,TEC-PH-10004539,Wireless Extenders zBoost YX545 SOHO Signal Booster,204.1092,4,South,7479,755.96,Home Office,1/10/2014,Standard Class,Kentucky,Phones,Profitable
0.6,Furniture,Huntsville,United States,VS-21820,Vivek Sundaresam,0.6,1/7/2014,CA-2014-105417,77340,FUR-FU-10004864,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",-53.7096,3,Central,7661,76.728,Consumer,1/12/2014,Standard Class,Texas,Furnishings,Unprofitable
0.8,Office Supplies,Huntsville,United States,VS-21820,Vivek Sundaresam,0.8,1/7/2014,CA-2014-105417,77340,OFF-BI-10003708,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",-18.2525,7,Central,7662,10.43,Consumer,1/12/2014,Standard Class,Texas,Binders,Unprofitable
0.2,Office Supplies,Laredo,United States,MS-17830,Melanie Seite,0.2,1/9/2014,CA-2014-135405,78041,OFF-AR-10004078,Newell 312,1.168,2,Central,593,9.344,Consumer,1/13/2014,Standard Class,Texas,Art,Profitable
0.2,Technology,Laredo,United States,MS-17830,Melanie Seite,0.2,1/9/2014,CA-2014-135405,78041,TEC-AC-10001266,Memorex Micro Travel Drive 8 GB,9.75,3,Central,594,31.2,Consumer,1/13/2014,Standard Class,Texas,Accessories,Profitable
,Furniture,Springfield,United States,AJ-10780,Anthony Jacobs,0,1/10/2014,CA-2014-149020,22153,FUR-FU-10000965,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",21.2954,1,South,867,51.94,Corporate,1/15/2014,Standard Class,Virginia,Furnishings,Profitable
,Office Supplies,Springfield,United States,AJ-10780,Anthony Jacobs,0,1/10/2014,CA-2014-149020,22153,OFF-LA-10004272,Avery 482,1.3583,1,South,866,2.89,Corporate,1/15/2014,Standard Class,Virginia,Labels,Profitable
,Furniture,Dover,United States,SV-20365,Seth Vernon,0,1/11/2014,CA-2014-130092,19901,FUR-FU-10000010,"DAX Value U-Channel Document Frames, Easel Back",3.0814,2,East,717,9.94,Consumer,1/14/2014,First Class,Delaware,Furnishings,Profitable
,Office Supplies,Bossier City,United States,CS-12250,Chris Selesnick,0,1/13/2014,CA-2014-162775,71111,OFF-BI-10004187,3-ring staple pack,2.7072,3,South,767,5.64,Corporate,1/15/2014,Second Class,Louisiana,Binders,Profitable
,Office Supplies,Bossier City,United States,CS-12250,Chris Selesnick,0,1/13/2014,CA-2014-162775,71111,OFF-EN-10001532,Brown Kraft Recycled Envelopes,25.47,3,South,765,50.94,Corporate,1/15/2014,Second Class,Louisiana,Envelopes,Profitable
,Office Supplies,Bossier City,United States,CS-12250,Chris Selesnick,0,1/13/2014,CA-2014-162775,71111,OFF-EN-10001990,Staple envelope,5.3392,2,South,764,11.36,Corporate,1/15/2014,Second Class,Louisiana,Envelopes,Profitable
,Office Supplies,Bossier City,United States,CS-12250,Chris Selesnick,0,1/13/2014,CA-2014-162775,71111,OFF-ST-10000025,Fellowes Stor/Drawer Steel Plus Storage Drawers,34.3548,6,South,768,572.58,Corporate,1/15/2014,Second Class,Louisiana,Storage,Profitable
,Technology,Bossier City,United States,CS-12250,Chris Selesnick,0,1/13/2014,CA-2014-162775,71111,TEC-AC-10003174,Plantronics S12 Corded Telephone Headset System,258.696,6,South,766,646.74,Corporate,1/15/2014,Second Class,Louisiana,Accessories,Profitable
,Furniture,Mount Pleasant,United States,ND-18370,Natalie DeCherney,0,1/13/2014,CA-2014-109232,29464,FUR-CH-10000422,Global Highback Leather Tilter in Burgundy,87.3504,6,South,2979,545.94,Consumer,1/16/2014,Second Class,South Carolina,Chairs,Profitable
0.15,Furniture,San Francisco,United States,BD-11605,Brian Dahlen,0.15,1/13/2014,CA-2014-157147,94109,FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",3.929400000,3,West,4939,333.999,Consumer,1/18/2014,Standard Class,California,Bookcases,Profitable
0.7,Office Supplies,Newark,United States,MM-17920,Michael Moore,0.7,1/13/2014,CA-2014-118192,43055,OFF-BI-10003476,Avery Metallic Poly Binders,-2.5212,2,East,9630,3.438,Consumer,1/18/2014,Standard Class,Ohio,Binders,Unprofitable
0.2,Office Supplies,Newark,United States,MM-17920,Michael Moore,0.2,1/13/2014,CA-2014-118192,43055,OFF-PA-10002947,Xerox 1923,13.0928,7,East,9629,37.408,Consumer,1/18/2014,Standard Class,Ohio,Paper,Profitable
,Office Supplies,San Francisco,United States,BD-11605,Brian Dahlen,0,1/13/2014,CA-2014-157147,94109,OFF-AR-10003514,4009 Highlighters by Sanford,6.567,5,West,4940,19.9,Consumer,1/18/2014,Standard Class,California,Art,Profitable
,Office Supplies,San Francisco,United States,BD-11605,Brian Dahlen,0,1/13/2014,CA-2014-157147,94109,OFF-ST-10000078,Tennsco 6- and 18-Compartment Lockers,238.653,5,West,4938,1325.85,Consumer,1/18/2014,Standard Class,California,Storage,Profitable
0.5,Furniture,Philadelphia,United States,BS-11590,Brendan Sweed,0.5,1/14/2014,CA-2014-149524,19140,FUR-BO-10003433,Sauder Cornerstone Collection Library,-53.2856,4,East,6475,61.96,Corporate,1/15/2014,First Class,Pennsylvania,Bookcases,Unprofitable
,Technology,Roswell,United States,EH-13990,Erica Hackney,0,1/15/2014,CA-2014-103366,30076,TEC-AC-10003628,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,65.978,5,South,1914,149.95,Consumer,1/17/2014,First Class,Georgia,Accessories,Profitable
0.2,Furniture,Philadelphia,United States,DL-13315,Delfina Latchford,0.2,1/16/2014,CA-2014-115791,19134,FUR-FU-10001095,DAX Black Cherry Wood-Tone Poster Frame,28.5984,6,East,971,127.104,Consumer,1/18/2014,Second Class,Pennsylvania,Furnishings,Profitable
0.7,Office Supplies,Philadelphia,United States,DL-13315,Delfina Latchford,0.7,1/16/2014,CA-2014-115791,19134,OFF-BI-10001575,GBC Linen Binding Covers,-13.6312,2,East,973,18.588,Consumer,1/18/2014,Second Class,Pennsylvania,Binders,Unprofitable
0.2,Office Supplies,Philadelphia,United States,DL-13315,Delfina Latchford,0.2,1/16/2014,CA-2014-115791,19134,OFF-LA-10001074,Round Specialty Laser Printer Labels,10.1493,3,East,974,30.072,Consumer,1/18/2014,Second Class,Pennsylvania,Labels,Profitable
0.4,Technology,Philadelphia,United States,DL-13315,Delfina Latchford,0.4,1/16/2014,CA-2014-115791,19134,TEC-PH-10004614,AT&T 841000 Phone,-31.05,3,East,972,124.2,Consumer,1/18/2014,Second Class,Pennsylvania,Phones,Unprofitable
0.2,Office Supplies,Springfield,United States,DW-13195,David Wiener,0.2,1/18/2014,CA-2014-123477,97477,OFF-AP-10000692,Fellowes Mighty 8 Compact Surge Protector,6.4864,4,West,5365,64.864,Corporate,1/21/2014,Second Class,Oregon,Appliances,Profitable
0.7,Furniture,Scottsdale,United States,TS-21340,Toby Swindell,0.7,1/19/2014,CA-2014-146591,85254,FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,-320.597,5,West,5466,181.47,Consumer,1/20/2014,First Class,Arizona,Bookcases,Unprofitable
0.7,Office Supplies,Scottsdale,United States,TS-21340,Toby Swindell,0.7,1/19/2014,CA-2014-146591,85254,OFF-BI-10003676,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",-23.716,10,West,5463,32.34,Consumer,1/20/2014,First Class,Arizona,Binders,Unprofitable
0.2,Office Supplies,Scottsdale,United States,TS-21340,Toby Swindell,0.2,1/19/2014,CA-2014-146591,85254,OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",36.693,5,West,5465,108.72,Consumer,1/20/2014,First Class,Arizona,Envelopes,Profitable
0.2,Office Supplies,Scottsdale,United States,TS-21340,Toby Swindell,0.2,1/19/2014,CA-2014-146591,85254,OFF-PA-10000659,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",19.6224,4,West,5464,56.064,Consumer,1/20/2014,First Class,Arizona,Paper,Profitable
,Furniture,Los Angeles,United States,MV-17485,Mark Van Huff,0,1/20/2014,CA-2014-148614,90049,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",5.79,2,West,5738,19.3,Consumer,1/25/2014,Standard Class,California,Furnishings,Profitable
,Office Supplies,Los Angeles,United States,MV-17485,Mark Van Huff,0,1/20/2014,CA-2014-148614,90049,OFF-PA-10002893,"Wirebound Service Call Books, 5 1/2"" x 4""",9.2928,2,West,5737,19.36,Consumer,1/25/2014,Standard Class,California,Paper,Profitable
,Furniture,Westland,United States,XP-21865,Xylona Preis,0,1/20/2014,CA-2014-167927,48185,FUR-FU-10002918,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,30.0234,3,Central,6328,272.94,Consumer,1/26/2014,Standard Class,Michigan,Furnishings,Profitable
,Furniture,Westland,United States,XP-21865,Xylona Preis,0,1/20/2014,CA-2014-167927,48185,FUR-FU-10002268,Ultra Door Push Plate,4.8609,3,Central,6333,14.73,Consumer,1/26/2014,Standard Class,Michigan,Furnishings,Profitable
,Furniture,Jonesboro,United States,HL-15040,Hunter Lopez,0,1/20/2014,US-2014-147627,72401,FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,224.2674,3,South,1127,1067.94,Consumer,1/26/2014,Standard Class,Arkansas,Chairs,Profitable
